[0]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  20   | [surface]  17   | [pedestal]  12
[1]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  25
[2]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25
[3]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  23   | [surface]  21   | [pedestal]  12
[4]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  11
[5]   [gap]  19   | [gold_surf_wd]  68   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25
[6]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  23   | [pedestal]  25
[7]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  21   | [pedestal]  25
[8]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[9]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25

