[0]   [gap]  21   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  8   | [pedestal]  11
[1]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  8   | [pedestal]  11
[2]   [gap]  22   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[3]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[4]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[5]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  8   | [pedestal]  45
[6]   [gap]  22   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  8   | [pedestal]  11
[7]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[8]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  8   | [pedestal]  11
[9]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12

