[0]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25
[1]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  22
[2]   [gap]  19   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  22
[3]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  22   | [surface]  19   | [pedestal]  25
[4]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  16   | [surface]  17   | [pedestal]  22
[5]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  25   | [pedestal]  22
[6]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  22   | [pedestal]  22
[7]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  12
[8]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  18   | [pedestal]  25
[9]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  22

