[0]   [gap]  19   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  17   | [pedestal]  12
[1]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  49
[2]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25
[3]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  23   | [surface]  19   | [pedestal]  25
[4]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  18   | [pedestal]  25
[5]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  18   | [pedestal]  16
[6]   [gap]  18   | [gold_surf_wd]  70   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  12
[7]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  7   | [surface]  17   | [pedestal]  12
[8]   [gap]  25   | [gold_surf_wd]  70   | [gold_surf_hg]  23   | [surface]  18   | [pedestal]  25
[9]   [gap]  17   | [gold_surf_wd]  73   | [gold_surf_hg]  22   | [surface]  17   | [pedestal]  12

